"","Experimental (n = 141) ","Missing ","Control (n = 177) ","Missing ",Experimental (n = 141) :0,Experimental (n = 141) :1,Control (n = 177) :0,Control (n = 177) :1
28.6 (4.32),9,28.4 (4.39),5,28.6,4.32,28.4,4.39
"",5,,13,,,,
47.1,,61.6,,47.1,47.1,61.6,61.6
38.2,,23.8,,38.2,38.2,23.8,23.8
14.7,,14.6,,14.7,14.7,14.6,14.6
99.3%,2,97.2%,1,99.3,99.3,97.2,97.2
68.4%,5,65.2%,13,68.4,68.4,65.2,65.2
"",5,,13,,,,
"",,,,,,,
55.1,,51.8,,55.1,55.1,51.8,51.8
29.4,,30.5,,29.4,29.4,30.5,30.5
15.4,,17.7,,15.4,15.4,17.7,17.7
12.4 (1.91),1,13.4 (3.67),3,12.4,1.91,13.4,3.67
"",,,,,,,
"",,,,,,,
17.4 (8.46),1,18.4 (8.51),0,17.4,8.46,18.4,8.51
"",,,,,,,
"",,,,,,,
9.1 (6.83),0,7.7 (5.01),0,9.1,6.83,7.7,5.01
"",,,,,,,
"",,,,,,,
14.9 (2.28),5,15.4 (2.51),13,14.9,2.28,15.4,2.51
"",,,,,,,
"",6,,16,,,,
8.9,,6.8,,8.9,8.9,6.8,6.8
18.5,,22.4,,18.5,18.5,22.4,22.4
20.0,,13.7,,20.0,20.0,13.7,13.7
52.6,,57.1,,52.6,52.6,57.1,57.1
14%,5,11%,13,14,14,11,11
71.2%,10,72.5%,18,71.2,71.2,72.5,72.5
"",6,,12,,,,
"",,,,,,,
"",,,,,,,
31.1,,28.5,,31.1,31.1,28.5,28.5
32.6,,32.1,,32.6,32.6,32.1,32.1
14.1,,16.4,,14.1,14.1,16.4,16.4
22.2,,23.0,,22.2,22.2,23.0,23.0
""
