"","Baseline (N = 70) ","8 weeks (n = 50) ","12 weeks (n = 44) ","24 weeks (n = 38) ","52 weeks (n = 29) ",Baseline (N = 70) :0,Baseline (N = 70) :1,Baseline (N = 70) :2,8 weeks (n = 50) :0,8 weeks (n = 50) :1,8 weeks (n = 50) :2,12 weeks (n = 44) :0,12 weeks (n = 44) :1,12 weeks (n = 44) :2,24 weeks (n = 38) :0,24 weeks (n = 38) :1,24 weeks (n = 38) :2,52 weeks (n = 29) :0,52 weeks (n = 29) :1,52 weeks (n = 29) :2
3/35 (8.6%),10/28 (35.7%),9/25 (36%),5/22 (22.7%),6/16 (37.5%),3,35,8.6,10,28,35.7,9,25,36,5,22,22.7,6,16,37.5
6/35 (17.1%),6/22 (27.3%),3/19 (15.8%),3/16 (18.8%),3/13 (23.1%),6,35,17.1,6,22,27.3,3,19,15.8,3,16,18.8,3,13,23.1
M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD),M (SD)
"",,,,,,,,,,,,,,,,,,,
21.9 (8.53),2.3 (5.4),2.28 (5.1),2.8 (6.0),4.3 (7.9),21.9,8.53,21.9,2.3,5.4,2.3,2.28,5.1,2.28,2.8,6.0,2.8,4.3,7.9,4.3
21.0 (9.36),3.3 (7.5),3.1 (7.0),2.4 (5.7),2.9 (5.7),21.0,9.36,21.0,3.3,7.5,3.3,3.1,7.0,3.1,2.4,5.7,2.4,2.9,5.7,2.9
"",,,,,,,,,,,,,,,,,,,
30.3 (17.1),8.3 (11.7),7.4 (8.9),9.9 (13.1),17.6 (16.2),30.3,17.1,30.3,8.3,11.7,8.3,7.4,8.9,7.4,9.9,13.1,9.9,17.6,16.2,17.6
28.1 (12.3),11.4 (14.1),13.2 (17.3),13.8 (16.0),15.6 (10.8),28.1,12.3,28.1,11.4,14.1,11.4,13.2,17.3,13.2,13.8,16.0,13.8,15.6,10.8,15.6
"",,,,,,,,,,,,,,,,,,,
72.2 (16.9),70.2 (15.4),71.3 (14.7),72.9 (14.9),76.5 (13.9),72.2,16.9,72.2,70.2,15.4,70.2,71.3,14.7,71.3,72.9,14.9,72.9,76.5,13.9,76.5
67.4 (13.9),68.6 (13.2),71.4 (13.3),72.8 (14.7),71.5 (14.7),67.4,13.9,67.4,68.6,13.2,68.6,71.4,13.3,71.4,72.8,14.7,72.8,71.5,14.7,71.5
"",,,,,,,,,,,,,,,,,,,
11.73 (3.73),8.19 (3.28),8.54 (4.61),9.05 (3.87),7.25 (3.66),11.73,3.73,11.73,8.19,3.28,8.19,8.54,4.61,8.54,9.05,3.87,9.05,7.25,3.66,7.25
11.42 (4.13),7.77 (3.08),7.94 (3.24),8.73 (4.14),7.84 (2.94),11.42,4.13,11.42,7.77,3.08,7.77,7.94,3.24,7.94,8.73,4.14,8.73,7.84,2.94,7.84
"",,,,,,,,,,,,,,,,,,,
10.74 (3.13),5.92 (4.41),5.25 (4.87),6.50 (4.96),3.87 (2.89),10.74,3.13,10.74,5.92,4.41,5.92,5.25,4.87,5.25,6.50,4.96,6.50,3.87,2.89,3.87
10.28 (2.71),5.36 (3.38),5.63 (3.51),6.66 (4.56),4.83 (3.78),10.28,2.71,10.28,5.36,3.38,5.36,5.63,3.51,5.63,6.66,4.56,6.66,4.83,3.78,4.83
"",,,,,,,,,,,,,,,,,,,
78.87 (9.78),87.50 (8.14),87.52 (8.92),,,78.87,9.78,78.87,87.50,8.14,87.50,87.52,8.92,87.52,,,,,,
80.49 (6.90),86.47 (6.88),85.93 (6.87),,,80.49,6.90,80.49,86.47,6.88,86.47,85.93,6.87,85.93,,,,,,
"",,,,,,,,,,,,,,,,,,,
28.43 (9.96),44.57 (2.27),,,,28.43,9.96,28.43,44.57,2.27,44.57,,,,,,,,,
33.15 (8.82),46.64 (2.37),,,,33.15,8.82,33.15,46.64,2.37,46.64,,,,,,,,,
