"Variable ","Baseline mean (SD) ","Six weeks mean (SD) ","Six weeks –baseline (95%CI) ","p ",Baseline mean (SD) :0,Baseline mean (SD) :1,Six weeks mean (SD) :0,Six weeks mean (SD) :1,Six weeks –baseline (95%CI) :0,Six weeks –baseline (95%CI) :1,Six weeks –baseline (95%CI) :2
66.6 (21.1),217.3 (34.7),150.7 (22.7 110.5),<0.01,66.6,21.1,217.3,34.7,150.7,22.7,110.5
12.9 (1.7),11.5 (1.6),-1.4 (-4.0 1.2),0.28,12.9,1.7,11.5,1.6,-1.4,-4.0,1.2
"",,,,,,,,,,
2.8 (1.5),2.8(1.5),0.02 (-0.6 0.6),0.93,2.8,1.5,2.8,1.5,0.02,-0.6,0.6
2.0 (1.8),0.9(1.2),-1.2 (-1.8 -0.5),<0.01,2.0,1.8,0.9,1.2,-1.2,-1.8,-0.5
1.8 (0.9),2.2 (1.2),0.3 (-0.3 0.9),0.27,1.8,0.9,2.2,1.2,0.3,-0.3,0.9
2.5 (1.3),3.5 (1.1),1.0 (0.4 1.6),<0.01,2.5,1.3,3.5,1.1,1.0,0.4,1.6
1.9 (0.3),1.5(0.3),-0.4 (-0.8 0.1),0.13,1.9,0.3,1.5,0.3,-0.4,-0.8,0.1
30.4 (7.4),29.0 (6.1),-1.4 (-2.3 -0.5),<0.01,30.4,7.4,29.0,6.1,-1.4,-2.3,-0.5
97.5 (18.4),92.4 (15.7),-5.1 (-8.3 -2.0),<0.01,97.5,18.4,92.4,15.7,-5.1,-8.3,-2.0
""
