"",Control,Intervention
"",,,,,
"",,,,,
75.74,-,537,74.46,-,548
24.26,-,172,25.54,-,188
"",,,,,
67.42,-,476,65.98,-,483
5.95,-,42,6.97,-,51
3.97,-,28,2.46,-,18
8.64,-,61,8.61,-,63
2.27,-,16,2.46,-,18
10.48,-,74,12.16,-,89
1.27,-,9,1.37,-,10
"",,,,,
55.15,-,391,61.55,-,453
44.85,-,318,38.45,-,283
19.04,2.91,709,18.76,1.99,736
"",,,,,
6.36,4.96,669,6.67,5.17,701
"",,,,,
3402.37,5101.72,688,3140.11,3861.42,709
344.36,179.09,609,336.17,171.42,641
"",,,,,
11.88,18.54,708,11.17,18.72,736
1.00,1.04,447,1.04,1.14,425
2.07,2.02,54,2.08,2.56,54
"",,,,,
37.24,-,264,37.23,-,274
62.76,-,445,62.77,-,462
11.99,-,85,11.28,-,83
88.01,-,624,88.72,-,653
3.19,14.12,496,1.88,10.95,483
".48",.49,54,.45,.42,54
7.19,18.67,54,9.49,19.16,54
"",,,,,
"",,,,,
".90",.14,708,.91,.14,735
".92",.13,708,.92,.14,735
78.21,13.61,706,78.11,15.85,730
"",,,,,
18.73,± 9.54,132,16.49,± 9.56,121
81.27,,575,83.51,,613
39.53,-,17,45.71,-,16
60.47,-,26,54.29,-,19
