"",Total,MUSIC,CBTE,Total,MUSIC,CBTE
"",,,,,,,,,,,
4.92 (2.29),4.89 (2.54),5.14 (1.93),4.74 (2.45),4.92,2.29,4.89,2.54,5.14,1.93,4.74,2.45
48.25 (21.64),57.00 (20.21),41.27 (22.59),46.10 (20.17),48.25,21.64,57.00,20.21,41.27,22.59,46.10,20.17
"",,,,,,,,,,,
"",,,,,,,,,,,
9.50 (1.06),9.53 (0.90),9.56 (1.15),9.42 (1.17),9.50,1.06,9.53,0.90,9.56,1.15,9.42,1.17
6.41 (2.26),6.53 (2.57),6.67 (2.00),6.05 (2.25),6.41,2.26,6.53,2.57,6.67,2.00,6.05,2.25
8.66 (1.79),8.68 (2.19),8.83 (1.34),8.47 (1.81),8.66,1.79,8.68,2.19,8.83,1.34,8.47,1.81
6.59 (2.18),6.66 (2.57),6.63 (1.46),6.47 (2.44),6.59,2.18,6.66,2.57,6.63,1.46,6.47,2.44
"",,,,,,,,,,,
"",,,,,,,,,,,
5.41 (2.90),5.54 (3.04),4.39 (2.30),6.23 (3.11),5.41,2.90,5.54,3.04,4.39,2.30,6.23,3.11
"",,,,,,,,,,,
"",,,,,,,,,,,
31 (55%),5 (26%),4 (22%),2 (11%),31,55,5,26,4,22,2,11
11 (20%),1 (5%),0 (0%),2 (11%),11,20,1,5,0,0,2,11
3 (5%),12 (63%),11 (61%),8 (44%),3,5,12,63,11,61,8,44
1 (2%),0 (0%),0 (0%),1 (6%),1,2,0,0,0,0,1,6
10 (18%),1 (5%),3 (17%),6 (33%),10,18,1,5,3,17,6,33
"Note. Data are displayed as Number (%) or Mean (Standard Deviation).
"
